instance,Unnamed: 0,status,obj,model time (s),total time (s),gap
URT_02_deadline,0,2,28.0,0.0109999179840087,0.0198626518249511,0.0
URT_02_makespan,0,2,53.0,0.0149998664855957,0.0364842414855957,0.0
URT_03_deadline,0,2,75.0,0.0390000343322753,0.0602419376373291,0.0
URT_03_makespan,0,2,106.0,0.1340000629425048,0.1502585411071777,0.0
URT_04_deadline,0,2,75.0,0.0380001068115234,0.0589797496795654,0.0
URT_04_makespan,0,2,106.0,0.121000051498413,0.1437487602233886,0.0
URT_05_deadline,0,2,75.0,0.0389997959136962,0.0603539943695068,0.0
URT_05_makespan,0,2,106.0,0.116999864578247,0.1443109512329101,0.0
URT_06_deadline,0,2,112.0,0.0379998683929443,0.0545177459716796,0.0
URT_06_makespan,0,2,98.0,0.0619997978210449,0.0861365795135498,0.0
URT_07_deadline,0,2,10.0,0.2580001354217529,0.2832953929901123,0.0
URT_07_makespan,0,9,36.0,3600.569999933243,3600.592798948288,0.0277777777777777
URT_08_deadline,0,2,27.0,0.2079999446868896,0.2595317363739013,0.0
URT_08_makespan,0,2,49.0,0.3440001010894775,1.490323781967163,0.0
URT_09_deadline,0,2,112.0,0.0360000133514404,0.0538272857666015,0.0
URT_09_makespan,0,2,98.0,0.0529999732971191,0.0651979446411132,0.0
URT_10_deadline,0,2,33.0,1.996000051498413,2.028818130493164,0.0
URT_10_makespan,0,9,67.0,3600.611000061035,3600.653029203415,0.0597014925373134
URT_11_deadline,0,2,44.0,4.486999988555908,4.5335845947265625,0.0
URT_11_makespan,0,2,86.0,2.874000072479248,4.5104827880859375,0.0
URT_12_deadline,0,2,28.0,12.773000001907349,12.83017873764038,0.0
URT_12_makespan,0,2,77.0,22.05800008773804,22.111319065093998,0.0
URT_13_deadline,0,2,20.0,217.6180000305176,217.70165872573853,0.0
URT_13_makespan,0,2,90.0,135.02499985694885,135.12480235099792,0.0
URT_14_deadline,0,9,52.0,3600.0299999713898,3600.1195340156555,0.3653846153846153
URT_14_makespan,0,9,115.0,3600.0490000247955,3600.1383697986603,0.2434782608695652
URT_15_deadline,0,9,52.0,3600.036999940872,3607.196492433548,0.3846153846153846
URT_15_makespan,0,9,115.0,3600.055999994278,3613.974479913712,0.2347826086956521
URT_16_deadline,0,9,56.0,3600.075000047684,3607.527266502381,0.8571428571428571
URT_16_makespan,0,9,156.0,3600.072999954224,3614.3784046173096,0.4166666666666667
URT_17_deadline,0,9,114.0,3603.013000011444,3618.529448747635,0.956140350877193
URT_17_makespan,0,9,228.0,3600.218999862671,3627.3227248191833,0.5877192982456141
URT_18_deadline,0,9,138.0,3600.37700009346,3606.749320030213,0.9057971014492754
URT_18_makespan,0,9,253.0,3600.526000022888,3603.171140193939,0.5849802371541502
URT_19_deadline,0,9,195.0,3600.286999940872,3606.611825942993,0.953846153846154
URT_19_makespan,0,9,402.0,3600.5640001297,3603.8784515857697,0.6865671641791045
URT_20_deadline,0,9,280.0,3600.5970001220703,3608.33926820755,0.9535714285714286
URT_20_makespan,0,9,447.0,3601.1569998264317,3604.588700771332,0.6912751677852349
