instance,Unnamed: 0,status,obj,model time (s),total time (s),gap
URT_14_makespan,0,9,120.0,3600.302999973297,3600.916398048401,0.2333333333333333
URT_15_deadline,0,9,52.0,3600.0270001888275,3601.9517374038696,0.3653846153846153
URT_15_makespan,0,9,120.0,3600.0579998493195,3605.953993558884,0.2333333333333333
URT_16_deadline,0,9,55.0,3600.06200003624,3619.7427508831024,0.8909090909090909
URT_16_makespan,0,9,152.0,3600.069000005722,3606.9841141700745,0.4407894736842105
URT_17_deadline,0,9,92.0,3603.167999982834,3612.521061897278,0.9239130434782608
URT_17_makespan,0,9,222.0,3600.103000164032,3611.4785878658295,0.5855855855855856
URT_18_deadline,0,9,144.0,3600.2490000724792,3602.3273406028748,0.8888888888888888
URT_18_makespan,0,9,244.0,3600.315999984741,3602.844024181366,0.5737704918032787
URT_19_deadline,0,9,199.0,3600.9049999713898,3607.117635250092,0.9547738693467336
URT_19_makespan,0,9,313.0,3600.1100001335144,3602.359206676483,0.6293929712460063
URT_20_deadline,0,9,5923.0,3600.090000152588,3601.6148402690887,0.0001688333614722
URT_20_makespan,0,9,6089.0,3600.365999937057,3606.4560759067535,0.0037773033338807
