,instance,Unnamed: 0,status,obj,model time (s),total time (s),gap,source
123,URT_19_makespan,0,9,makespan,3600.1100001335144,3602.359206676483,0.6293929712460063,heuristic+milp
124,URT_20_deadline,0,9,deadline,3600.090000152588,3601.6148402690887,0.0001688333614722,heuristic+milp
125,URT_20_makespan,0,9,makespan,3600.365999937057,3606.4560759067535,0.0037773033338807,heuristic+milp
0,BA_01_deadline,0,2,deadline,0.0060000419616699,0.0156214237213134,0.0,milp
1,BA_01_makespan,0,2,makespan,0.0050001144409179,0.0222818851470947,0.0,milp
2,BA_02_deadline,0,2,deadline,0.0060000419616699,0.0093741416931152,0.0,milp
3,BA_02_makespan,0,2,makespan,0.0050001144409179,0.0264794826507568,0.0,milp
4,BA_03_deadline,0,2,deadline,0.0099999904632568,0.0273423194885253,0.0,milp
5,BA_03_makespan,0,2,makespan,0.0190000534057617,0.0358567237854003,0.0,milp
6,BA_04_deadline,0,2,deadline,0.0099999904632568,0.0283401012420654,0.0,milp
7,BA_04_makespan,0,2,makespan,0.0190000534057617,0.0384049415588378,0.0,milp
8,BA_05_deadline,0,2,deadline,0.0099999904632568,0.0315866470336914,0.0,milp
9,BA_05_makespan,0,2,makespan,0.0209999084472656,0.031259536743164,0.0,milp
10,BA_06_deadline,0,2,deadline,0.0180001258850097,0.0221970081329345,0.0,milp
11,BA_06_makespan,0,2,makespan,0.0150001049041748,0.0313813686370849,0.0,milp
12,BA_07_deadline,0,2,deadline,0.0919997692108154,0.1103923320770263,0.0,milp
13,BA_07_makespan,0,2,makespan,0.3470001220703125,0.3739087581634521,0.0,milp
14,BA_08_deadline,0,2,deadline,0.0899999141693115,0.1217269897460937,0.0,milp
15,BA_08_makespan,0,9,makespan,3600.590000152588,3600.616818189621,0.0909090909090909,milp
16,BA_09_deadline,0,2,deadline,0.0119998455047607,0.0242025852203369,0.0,milp
17,BA_09_makespan,0,2,makespan,0.0240001678466796,3.891523122787476,0.0,milp
18,BA_10_deadline,0,9,deadline,3600.4560000896454,3600.487545967102,0.1034482758620689,milp
19,BA_10_makespan,0,2,makespan,0.1610000133514404,0.1848180294036865,0.0,milp
20,BA_11_deadline,0,2,deadline,0.5479998588562012,3.403101921081543,0.0,milp
21,BA_11_makespan,0,2,makespan,0.4229998588562011,0.4631738662719726,0.0,milp
22,BA_12_deadline,0,2,deadline,1.944000005722046,1.9872334003448489,0.0,milp
23,BA_12_makespan,0,2,makespan,6.136000156402588,6.185251474380493,0.0,milp
24,BA_13_deadline,0,2,deadline,41.03099989891052,41.08855676651001,0.0,milp
25,BA_13_makespan,0,2,makespan,81.66199994087219,81.70470929145813,0.0,milp
26,BA_14_deadline,0,9,deadline,3600.0360000133514,3600.0963056087494,0.3658536585365853,milp
27,BA_14_makespan,0,9,makespan,3600.4850001335144,3600.5589275360107,0.209090909090909,milp
28,BA_15_deadline,0,9,deadline,3600.0039999485016,3605.473314523697,0.3902439024390244,milp
29,BA_15_makespan,0,9,makespan,3600.319000005722,3601.2686116695404,0.209090909090909,milp
30,BA_16_deadline,0,9,deadline,3600.066999912262,3605.372493505478,0.8490566037735849,milp
31,BA_16_makespan,0,9,makespan,3600.723000049591,3601.6574494838715,0.4460431654676259,milp
32,BA_17_deadline,0,9,deadline,3600.161999940872,3617.564181804657,0.9690721649484536,milp
33,BA_17_makespan,0,9,makespan,3600.2450001239777,3619.807181596756,0.5813953488372093,milp
34,BA_18_deadline,0,9,deadline,3601.146999835968,3610.663328409195,0.9197080291970804,milp
35,BA_18_makespan,0,9,makespan,3600.603999853134,3603.336457967758,0.6008583690987125,milp
36,BA_19_deadline,0,9,deadline,3600.4420001506805,3603.233865261078,0.9879518072289156,milp
37,BA_19_makespan,0,9,makespan,3602.428999900818,3605.151502132416,0.7011173184357542,milp
38,BA_20_deadline,0,9,deadline,3600.218999862671,3606.6253876686096,0.975206611570248,milp
39,BA_20_makespan,0,9,makespan,3601.1429998874664,3603.392589092255,0.7132530120481928,milp
40,FTQL_deadline,0,2,deadline,0.1019999980926513,0.1330740451812744,0.0,milp
41,FTQL_makespan,0,2,makespan,0.1510000228881836,0.1880240440368652,0.0,milp
42,Fattahi_setup_01_modified_makespan,0,2,makespan,0.0150001049041748,0.0274298191070556,0.0,milp
43,Fattahi_setup_01_modified_old_deadline,0,2,deadline,0.0290000438690185,0.0442283153533935,0.0,milp
44,Fattahi_setup_01_modified_old_makespan,0,2,makespan,0.0670001506805419,0.1035506725311279,0.0,milp
45,Fattahi_setup_02_modified_makespan,0,2,makespan,0.0099999904632568,0.0196483135223388,0.0,milp
