,instance,status,obj,model time (s),total time (s),gap
0,Fattahi_setup_02_modified_old_makespan,2,1339.0,0.013000011444091797,0.025437116622924805,0.0
0,Fattahi_setup_02_modified_old_deadline,2,379.0,0.009999990463256836,0.028383731842041016,0.0
0,Fattahi_setup_03_modified_old_makespan,2,2620.0,0.03299999237060547,0.05080890655517578,0.0
0,Fattahi_setup_03_modified_old_deadline,2,1180.0,0.0409998893737793,0.05500030517578125,0.0
0,Fattahi_setup_04_modified_old_makespan,2,3152.0,0.039999961853027344,0.05402374267578125,0.0
0,Fattahi_setup_04_modified_old_deadline,2,1712.0,0.024000167846679688,0.048499107360839844,0.0
0,Fattahi_setup_05_modified_old_makespan,2,2027.0,0.6200001239776611,0.645949125289917,0.0
0,Fattahi_setup_05_modified_old_deadline,2,587.0,0.06099987030029297,0.08309507369995117,0.0
0,Fattahi_setup_06_modified_old_makespan,2,3306.0,0.05099987983703613,0.06763887405395508,0.0
0,Fattahi_setup_06_modified_old_deadline,2,1866.0,0.07200002670288086,0.09452390670776367,0.0
0,Fattahi_setup_07_modified_old_makespan,2,2932.0,0.07500004768371582,0.08647394180297852,0.0
0,Fattahi_setup_07_modified_old_deadline,2,1492.0,0.09299993515014648,0.11795830726623535,0.0
0,Fattahi_setup_08_modified_old_makespan,2,2365.0,0.07200002670288086,0.08998656272888184,0.0
0,Fattahi_setup_08_modified_old_deadline,2,925.0,0.08699989318847656,0.12296009063720703,0.0
0,Fattahi_setup_09_modified_old_makespan,2,2290.0,0.07800006866455078,0.11078310012817383,0.0
0,Fattahi_setup_09_modified_old_deadline,2,850.0,0.12999987602233887,0.16472244262695312,0.0
0,Fattahi_setup_10_modified_old_makespan,2,4834.0,0.046000003814697266,0.06353569030761719,0.0
0,Fattahi_setup_10_modified_old_deadline,2,2914.0,0.07200002670288086,0.08803582191467285,0.0
0,Fattahi_setup_11_modified_old_makespan,2,5602.0,1.3989999294281006,1.4336233139038086,0.0
0,Fattahi_setup_11_modified_old_deadline,2,3202.0,1.4240000247955322,1.454359769821167,0.0
0,Fattahi_setup_12_modified_old_makespan,2,5308.0,2.5889999866485596,2.6327319145202637,0.0
0,Fattahi_setup_12_modified_old_deadline,2,2908.0,8.470999956130981,8.51380705833435,0.0
0,Fattahi_setup_13_modified_old_makespan,2,7247.0,18.51200008392334,18.56950044631958,0.0
0,Fattahi_setup_13_modified_old_deadline,2,4367.0,337.96399998664856,338.01874113082886,0.0
0,Fattahi_setup_14_modified_old_makespan,2,8581.0,41.58800005912781,41.66557335853577,0.0
0,Fattahi_setup_14_modified_old_deadline,2,5221.0,717.0339999198914,717.0936460494995,0.0
0,Fattahi_setup_15_modified_old_makespan,2,8885.0,168.28800010681152,168.36242270469666,0.0
0,Fattahi_setup_15_modified_old_deadline,2,5525.0,2893.957000017166,2894.01841545105,0.0
0,Fattahi_setup_16_modified_old_makespan,9,11769.0,3600.0350000858307,3600.1575467586517,0.01945789786727798
0,Fattahi_setup_16_modified_old_deadline,9,7929.0,3600.276999950409,3603.0470774173737,0.25009458948164964
0,Fattahi_setup_17_modified_old_makespan,9,15675.0,3600.1870000362396,3603.2209491729736,0.3722488038277512
0,Fattahi_setup_17_modified_old_deadline,9,11812.0,3600.207000017166,3624.0130009651184,0.4736708432102946
0,Fattahi_setup_18_modified_old_makespan,9,17341.0,3600.1370000839233,3602.7939162254333,0.37379620552447956
0,Fattahi_setup_18_modified_old_deadline,9,14463.0,3600.3919999599457,3604.6012341976166,0.5449076954988592
0,Fattahi_setup_19_modified_old_makespan,9,24818.0,3600.1150000095367,3603.8762726783752,0.49806591989684906
0,Fattahi_setup_19_modified_old_deadline,9,20690.0,3600.457999944687,3616.5747911930084,0.6028999516674722
0,Fattahi_setup_20_modified_old_makespan,9,32566.0,3600.701999902725,3605.3696308135986,0.5752011300128969
0,Fattahi_setup_20_modified_old_deadline,9,25448.0,3600.423000097275,3611.8013298511505,0.6763203395158756
0,BA_01_deadline,2,37.0,0.01399993896484375,0.018726348876953125,0.0
0,BA_02_deadline,2,37.0,0.006999969482421875,0.014480113983154297,0.0
0,BA_03_deadline,2,85.0,0.013000011444091797,0.03545522689819336,0.0
0,BA_04_deadline,2,85.0,0.011999845504760742,0.022618770599365234,0.0
0,BA_05_deadline,2,85.0,0.011999845504760742,0.036734819412231445,0.0
0,BA_06_deadline,2,76.0,0.014000177383422852,0.027579069137573242,0.0
0,BA_07_deadline,2,15.0,0.11599993705749512,0.13400816917419434,0.0
0,BA_08_deadline,9,34.0,3600.454999923706,3600.481431245804,0.058823529411764705
0,BA_09_deadline,2,76.0,0.016000032424926758,2.766995668411255,0.0
0,BA_10_deadline,2,32.0,0.32700014114379883,0.359236478805542,0.0
0,BA_01_deadline,2,28.0,0.006000041961669922,0.020134687423706055,0.0
0,BA_02_deadline,2,28.0,0.003999948501586914,0.01320028305053711,0.0
