0s;-;37.1%;2.4703e+08;3.929405e+08;0;0;H
26s;4.5;15.8%;2.6154e+08;3.106062e+08;65655;H79884
27s;4.5;14.6%;2.6154e+08;3.061187e+08;54704;H79961
28s;4.5;14.5%;2.6154e+08;3.060660e+08;54625;H80078
28s;4.5;14.5%;2.6154e+08;3.058973e+08;54231;H80079
28s;4.5;14.1%;2.6154e+08;3.045126e+08;51065;H80084
28s;4.5;13.7%;2.6154e+08;3.031463e+08;48163;H80092
28s;4.5;13.5%;2.6154e+08;3.023931e+08;47445;H80102
28s;4.5;13.3%;2.6156e+08;3.016251e+08;45927;H80979
29s;4.5;13.2%;2.6156e+08;3.012860e+08;46036;H81254
29s;4.5;13.0%;2.6156e+08;3.007395e+08;45066;H81763
29s;4.6;13.0%;2.6156e+08;3.004921e+08;45599;H82179
29s;4.6;12.9%;2.6156e+08;3.004003e+08;45365;H82357
29s;4.6;12.9%;2.6156e+08;3.001308e+08;44795;H82677
29s;4.6;12.8%;2.6156e+08;3.000234e+08;44584;H82824
30s;4.6;12.8%;2.6156e+08;3.0002e+08;111;97;2.9009e+08;45357;83515
30s;4.6;12.8%;2.6156e+08;2.999041e+08;45039;H83682
30s;4.6;12.8%;2.6156e+08;2.997942e+08;44825;H83823
31s;4.6;12.7%;2.6156e+08;2.996842e+08;44662;H84593
33s;4.6;12.7%;2.6161e+08;2.996842e+08;47074;H86724
34s;4.6;12.7%;2.6162e+08;2.996842e+08;48522;H87991
34s;4.6;12.7%;2.6163e+08;2.996842e+08;50095;H90079
35s;4.7;12.7%;2.6163e+08;2.9968e+08;191;32;2.6230e+08;51252;91990
35s;4.7;12.7%;2.6163e+08;2.996842e+08;51252;H92270
36s;4.7;12.7%;2.6163e+08;2.996842e+08;52801;H93919
37s;4.7;12.7%;2.6163e+08;2.996842e+08;54339;H95523
37s;4.7;12.7%;2.6163e+08;2.995743e+08;55596;H97554
38s;4.7;12.7%;2.6163e+08;2.995743e+08;56680;H99427
40s;4.7;12.7%;2.6163e+08;2.9957e+08;159;55;2.7404e+08;59872;103192
45s;4.8;12.7%;2.6164e+08;2.9957e+08;151;72;2.9189e+08;71492;118976
46s;4.8;12.3%;2.6165e+08;2.983031e+08;70318;H123012
50s;4.9;12.3%;2.6167e+08;2.9830e+08;107;104;2.9169e+08;79415;133607
55s;4.9;12.3%;2.6170e+08;2.9830e+08;173;47;2.6605e+08;90415;148557
58s;5.0;12.2%;2.6171e+08;2.981932e+08;96823;H157594
60s;5.0;12.2%;2.6172e+08;2.9819e+08;198;41;2.6288e+08;100699;162470
65s;5.1;12.2%;2.6174e+08;2.9819e+08;99;96;2.9768e+08;110777;175953
70s;5.1;12.2%;2.6181e+08;2.9819e+08;126;86;2.9624e+08;122684;191876
75s;5.2;12.2%;2.6184e+08;2.9819e+08;182;46;2.7130e+08;131874;205189
80s;5.2;12.2%;2.6184e+08;2.9819e+08;162;51;2.7063e+08;143018;219882
85s;5.3;12.2%;2.6191e+08;2.9819e+08;130;69;2.9532e+08;152823;232824
90s;5.3;12.2%;2.6192e+08;2.9819e+08;185;38;2.6617e+08;163024;247054
95s;5.3;12.2%;2.6194e+08;2.9819e+08;128;73;2.8709e+08;173621;259978
100s;5.3;12.1%;2.6196e+08;2.9819e+08;110;88;2.8344e+08;184322;273852
105s;5.3;12.1%;2.6196e+08;2.9819e+08;140;61;2.8264e+08;194403;288467
110s;5.4;12.1%;2.6196e+08;2.9819e+08;145;72;2.8448e+08;201338;298564
110s;5.4;11.5%;2.6196e+08;2.959990e+08;189368;H299315
115s;5.4;11.5%;2.6196e+08;2.9600e+08;93;infeasible;197147;309350
119s;5.4;11.4%;2.6198e+08;2.955749e+08;199473;H318202
120s;5.4;11.4%;2.6198e+08;2.9557e+08;169;70;2.9217e+08;201209;318338
123s;5.4;11.3%;2.6199e+08;2.954375e+08;204545;H325817
125s;5.4;11.3%;2.6200e+08;2.9544e+08;180;56;2.8189e+08;206861;328665
130s;5.5;11.3%;2.6200e+08;2.9544e+08;166;60;2.8431e+08;214298;337950
135s;5.5;11.3%;2.6200e+08;2.9544e+08;173;54;2.6832e+08;224080;351307
140s;5.5;11.3%;2.6200e+08;2.9544e+08;145;70;2.9412e+08;233031;362965
145s;5.5;11.3%;2.6201e+08;2.9544e+08;89;118;2.8854e+08;241199;374449
150s;5.5;11.3%;2.6202e+08;2.9544e+08;99;93;2.8956e+08;248270;384426
155s;5.5;11.3%;2.6204e+08;2.9544e+08;187;33;2.6304e+08;256721;396055
160s;5.5;11.3%;2.6205e+08;2.9544e+08;172;68;2.7872e+08;265721;407868
165s;5.5;11.3%;2.6206e+08;2.9544e+08;81;118;2.9336e+08;274835;421170
170s;5.6;11.3%;2.6208e+08;2.9544e+08;159;68;2.8204e+08;284436;433602
175s;5.6;11.3%;2.6209e+08;2.9544e+08;154;52;2.7876e+08;292149;444882
180s;5.6;11.3%;2.6209e+08;2.9544e+08;131;71;2.9375e+08;300124;455229
181s;5.6;11.2%;2.6209e+08;2.953000e+08;300013;H457911
186s;5.6;11.2%;2.6209e+08;2.9530e+08;174;45;2.6497e+08;306804;466180
190s;5.6;11.2%;2.6210e+08;2.9530e+08;132;95;2.8975e+08;314298;476818
