0s;-;37.1%;2.4703e+08;3.929405e+08;0;0;H
28s;4.5;15.8%;2.6154e+08;3.106062e+08;65655;H79884
29s;4.5;14.6%;2.6154e+08;3.061187e+08;54704;H79961
30s;4.5;14.5%;2.6154e+08;3.060660e+08;54625;H80078
30s;4.5;14.5%;2.6154e+08;3.058973e+08;54231;H80079
30s;4.5;14.1%;2.6154e+08;3.045126e+08;51065;H80084
30s;4.5;13.7%;2.6154e+08;3.031463e+08;48163;H80092
30s;4.5;13.5%;2.6154e+08;3.023931e+08;47445;H80102
30s;4.5;13.3%;2.6156e+08;3.016251e+08;45927;H80979
31s;4.5;13.2%;2.6156e+08;3.012860e+08;46036;H81254
31s;4.5;13.0%;2.6156e+08;3.007395e+08;45066;H81763
32s;4.6;13.0%;2.6156e+08;3.004921e+08;45599;H82179
32s;4.6;12.9%;2.6156e+08;3.004003e+08;45365;H82357
32s;4.6;12.9%;2.6156e+08;3.001308e+08;44795;H82677
32s;4.6;12.8%;2.6156e+08;3.000234e+08;44584;H82824
32s;4.6;12.8%;2.6156e+08;2.999041e+08;45039;H83682
32s;4.6;12.8%;2.6156e+08;2.997942e+08;44825;H83823
34s;4.6;12.7%;2.6156e+08;2.996842e+08;44662;H84593
35s;4.6;12.7%;2.6159e+08;2.9968e+08;120;75;2.9047e+08;46189;85123
35s;4.6;12.7%;2.6161e+08;2.996842e+08;47074;H86724
36s;4.6;12.7%;2.6162e+08;2.996842e+08;48522;H87991
37s;4.6;12.7%;2.6163e+08;2.996842e+08;50095;H90079
38s;4.7;12.7%;2.6163e+08;2.996842e+08;51252;H92270
38s;4.7;12.7%;2.6163e+08;2.996842e+08;52801;H93919
39s;4.7;12.7%;2.6163e+08;2.996842e+08;54339;H95523
40s;4.7;12.7%;2.6163e+08;2.995743e+08;55596;H97554
41s;4.7;12.7%;2.6163e+08;2.995743e+08;56680;H99427
45s;4.8;12.7%;2.6163e+08;2.9957e+08;87;infeasible;64297;109413
49s;4.8;12.3%;2.6165e+08;2.983031e+08;70318;H123012
50s;4.8;12.3%;2.6165e+08;2.9830e+08;170;71;2.9235e+08;72572;124673
55s;4.9;12.3%;2.6168e+08;2.9830e+08;91;99;2.9591e+08;83553;139108
60s;5.0;12.3%;2.6170e+08;2.9830e+08;77;infeasible;94812;154123
61s;5.0;12.2%;2.6171e+08;2.981932e+08;96823;H157594
65s;5.0;12.2%;2.6173e+08;2.9819e+08;113;79;2.9784e+08;105057;167901
70s;5.1;12.2%;2.6177e+08;2.9819e+08;143;70;2.9538e+08;116175;183014
75s;5.1;12.2%;2.6182e+08;2.9819e+08;168;55;2.8173e+08;127976;198927
80s;5.2;12.2%;2.6184e+08;2.9819e+08;149;70;2.9085e+08;137292;212402
85s;5.3;12.2%;2.6189e+08;2.9819e+08;143;71;2.9528e+08;149160;228282
90s;5.3;12.2%;2.6192e+08;2.9819e+08;148;57;2.8680e+08;158833;240810
95s;5.3;12.2%;2.6193e+08;2.9819e+08;156;54;2.6778e+08;169025;255904
100s;5.3;12.2%;2.6195e+08;2.9819e+08;151;49;2.7028e+08;179895;268083
105s;5.3;12.1%;2.6196e+08;2.9819e+08;176;42;2.6693e+08;191868;284076
110s;5.4;12.1%;2.6196e+08;2.9819e+08;159;60;2.7609e+08;198872;294910
111s;5.4;11.5%;2.6196e+08;2.959990e+08;189368;H299315
115s;5.4;11.5%;2.6196e+08;2.9600e+08;188;52;2.6416e+08;196279;307305
120s;5.4;11.5%;2.6198e+08;2.9600e+08;167;69;2.9090e+08;202654;318196
120s;5.4;11.4%;2.6198e+08;2.955749e+08;199473;H318202
124s;5.4;11.3%;2.6199e+08;2.954375e+08;204545;H325817
125s;5.4;11.3%;2.6199e+08;2.9544e+08;170;67;2.8237e+08;206365;326222
130s;5.5;11.3%;2.6200e+08;2.9544e+08;194;51;2.6562e+08;216394;339771
135s;5.5;11.3%;2.6200e+08;2.9544e+08;173;54;2.6832e+08;224080;351307
140s;5.5;11.3%;2.6200e+08;2.9544e+08;145;70;2.9412e+08;233031;362965
145s;5.5;11.3%;2.6201e+08;2.9544e+08;89;118;2.8854e+08;241199;374449
150s;5.5;11.3%;2.6203e+08;2.9544e+08;195;39;2.6247e+08;249471;386763
155s;5.5;11.3%;2.6204e+08;2.9544e+08;126;79;2.8952e+08;258505;398220
160s;5.5;11.3%;2.6206e+08;2.9544e+08;75;infeasible;268856;413438
165s;5.6;11.3%;2.6207e+08;2.9544e+08;143;59;2.7541e+08;277814;425572
170s;5.6;11.3%;2.6209e+08;2.9544e+08;156;70;2.8467e+08;289156;439889
175s;5.6;11.3%;2.6209e+08;2.9544e+08;153;69;2.7996e+08;296803;451387
178s;5.6;11.2%;2.6209e+08;2.953000e+08;300013;H457911
180s;5.6;11.2%;2.6209e+08;2.9530e+08;139;69;2.9175e+08;303603;462005
185s;5.6;11.2%;2.6210e+08;2.9530e+08;85;118;2.9288e+08;311392;472259
190s;5.6;11.2%;2.6211e+08;2.9530e+08;195;43;2.6776e+08;320828;484499
191s;5.6;11.1%;2.6211e+08;2.948700e+08;317769;H486802
195s;5.6;11.1%;2.6211e+08;2.9487e+08;193;41;2.6437e+08;322894;492386
