0s;-;61.7%;7937.00000;20708.000000;0;0;H
35s;7.8;38.3%;9641.60905;15624.0000;135;62;11503.2650;18908;42754
40s;7.8;38.0%;9686.50173;15624.0000;142;41;9686.50173;18930;42788
45s;8.2;37.9%;9697.00000;15624.0000;129;39;9697.00000;18965;42838
50s;8.2;37.9%;9697.00000;15624.0000;134;45;11882.8168;18987;42872
57s;8.5;37.9%;9697.00000;15624.0000;73;59;9697.00000;19110;43030
60s;9.4;37.9%;9697.00000;15624.0000;67;67;9697.00000;23171;56075
60s;9.4;37.5%;9697.00000;15504.000000;22132;H56131
65s;10.4;37.5%;9697.00000;15504.0000;28;84;14599.1047;32178;85160
70s;10.7;37.5%;9697.00000;15504.0000;83;67;9813.74862;50118;125180
75s;10.8;37.5%;9697.00000;15504.0000;42;79;13434.6535;72275;162748
80s;11.0;37.5%;9697.00000;15504.0000;55;73;12328.7852;93478;199870
85s;11.1;37.5%;9697.00000;15504.0000;59;73;10010.4193;117959;242074
90s;11.2;37.5%;9697.00000;15504.0000;69;72;9697.00000;141876;281439
95s;11.2;37.5%;9697.00000;15504.0000;37;79;14859.6721;163285;320858
100s;11.3;37.5%;9697.00000;15504.0000;96;cutoff;185382;361473
105s;11.3;37.5%;9697.00000;15504.0000;86;infeasible;205385;397090
110s;11.3;37.5%;9697.00000;15504.0000;17;94;14691.0000;225346;435357
115s;11.3;37.5%;9697.00000;15504.0000;86;cutoff;244488;469071
120s;11.3;37.5%;9697.00000;15504.0000;81;cutoff;267144;509163
125s;11.3;37.5%;9697.00000;15504.0000;52;88;14633.6226;289789;551219
130s;11.2;37.5%;9697.00000;15504.0000;48;77;10521.6514;312918;592160
135s;11.2;37.5%;9697.00000;15504.0000;94;infeasible;333128;631262
140s;11.2;37.5%;9697.00000;15504.0000;83;74;9735.01522;354442;670268
145s;11.2;37.5%;9697.00000;15504.0000;58;86;11867.6573;375755;709692
150s;11.2;37.5%;9697.00000;15504.0000;48;84;12233.3064;397950;751570
155s;11.2;37.5%;9697.00000;15504.0000;85;cutoff;420165;794218
