,instance,status,obj,model time (s),total time (s),gap
0,GNR_10_p5_2_deadline,2,4369.0,20.082000017166138,20.14603614807129,0.0
0,GNR_10_p5_3_makespan,2,5734.0,7.7809998989105225,7.8413987159729,0.0
0,GNR_10_p5_3_deadline,2,4654.0,5.0920000076293945,5.148626804351807,0.0
0,GNR_10_p5_4_makespan,2,5526.0,20.473999977111816,20.532439947128296,0.0
0,GNR_10_p5_4_deadline,2,4446.0,32.509000062942505,32.56958723068237,0.0
0,GNR_10_p5_5_makespan,2,5558.0,17.53500008583069,17.600598096847534,0.0
0,GNR_10_p5_5_deadline,2,4478.0,13.610000133514404,13.676167011260986,0.0
0,UAG_10_p2_1_makespan,2,6810.0,2.8310000896453857,2.898332118988037,0.0
0,UAG_10_p2_1_deadline,2,5730.0,3.235999822616577,3.2979538440704346,0.0
0,UAG_10_p2_2_makespan,2,6793.0,1.316999912261963,1.3744266033172607,0.0
0,UAG_10_p2_2_deadline,2,5713.0,1.7339999675750732,1.794071912765503,0.0
0,UAG_10_p2_3_makespan,2,6643.0,2.7769999504089355,2.8367903232574463,0.0
0,UAG_10_p2_3_deadline,2,5563.0,2.9840002059936523,3.039515256881714,0.0
0,UAG_10_p2_4_makespan,2,6590.0,2.4499998092651367,2.5111913681030273,0.0
0,UAG_10_p2_4_deadline,2,5510.0,2.9749999046325684,3.028081178665161,0.0
0,UAG_10_p2_5_makespan,2,7102.0,3.746000051498413,3.8007726669311523,0.0
0,UAG_10_p2_5_deadline,2,6022.0,3.4049999713897705,3.465827226638794,0.0
0,UAG_10_p3_1_makespan,2,7714.0,2.0270001888275146,2.0825674533843994,0.0
0,UAG_10_p3_1_deadline,2,6634.0,2.25,2.3037500381469727,0.0
0,UAG_10_p3_2_makespan,2,7596.0,2.205000162124634,2.265620231628418,0.0
0,UAG_10_p3_2_deadline,2,6516.0,2.6080000400543213,2.6648623943328857,0.0
0,UAG_10_p3_3_makespan,2,7632.0,2.2690000534057617,2.3242268562316895,0.0
0,UAG_10_p3_3_deadline,2,6552.0,2.2850000858306885,2.3389194011688232,0.0
0,UAG_10_p3_4_makespan,2,7291.0,2.61899995803833,2.671924114227295,0.0
0,UAG_10_p3_4_deadline,2,6211.0,2.996999979019165,3.0524117946624756,0.0
0,UAG_10_p3_5_makespan,2,7526.0,2.877999782562256,3.107023000717163,0.0
0,UAG_10_p3_5_deadline,2,6446.0,2.559999942779541,2.6153154373168945,0.0
0,UAG_10_p4_1_makespan,2,7797.0,2.1410000324249268,2.199924945831299,0.0
0,UAG_10_p4_1_deadline,2,6717.0,2.232999801635742,2.2930314540863037,0.0
